TIPO DE EQUIPO,TAG CUERPO,MODELO CUERPO,SERIAL CUERPO,TAMAÑO CUERPO,ANSI CUERPO,MATERIAL CUERPO,MODELO ACTUADOR,FALLA ACTUADOR,BENCH SET ACTUADOR,TRAVEL ACTUADOR,MODELO POSICIONADOR,FRICCION RECOMENDADA,FRICCION MEDIDA,BANDA DE ERROR DINAMICA RECOMENDADA,BANDA DE ERROR DINAMICA MEDIDA,LINEALIDAD DINAMICA RECOMENDADA,LINEALIDAD DINAMICA MEDIDA,TORQUE - CARGA EN EL ASIENTO RECOMENDADA,TORQUE - CARGA EN EL ASIENTO MEDIDA,estado_real
Válvula de control,TKA-TCV-0120,ET,2002094,8,#600,WCC,667,FAIL CLOSE (FC),8.0-30 psi,2    ,DVC 6200,90,90,2.42,2.42,2.4,0.12,823.0,348,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-LCV-1020,EZ,20020954,4,#600,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi,1,DVC 6200,45,34,2.6,2.6,2.4,0.38,589.0,414,ALERTA
Válvula de control,TKA-PCV-5012,ET,20020955,6,#600,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi,2    ,DVC 6200,75,319,2.6,2.6,2.4,0.33,704.5,680,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-TCV-0121,V150,F000096200,2,#150,STL,2052,FAIL OPEN (FO),0.0- 29 psi,90°,DVC 6200,0,382,3.6,3.6,2.6,1.5,245.6,238,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-LCV-1021,GX,F001354428,4,#300,STL,GX,FAIL OPEN (FO),9.0-30.0 psi, 3/4,DVC 6200,45,453,2.42,2.42,2.4,0.31,546.3,550,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-PCV-5013,EZ,F004194185,12,#300,CFSM,657,FAIL OPEN (FO),3.0-24 psi,4,DVC 6200,250,480,2.6,2.6,2.4,0.18,968.5,900,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-TCV-0122,ET,F000156131,6,#300,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi, 3/4,DVC 6200,75,173,2.42,2.42,2.4,0.14,692.5,365,ALERTA
Válvula de control,TKA-TCV-0121,GX,F000096193,10,#150,STL,GX,FAIL CLOSE (FC),6.0-30.0 psi,8,DVC 6200,149,307,2.6,2.6,2.4,0.51,820.0,866,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-LCV-1021,EZ,19078163,10,#150,WCC,667,FAIL CLOSE (FC),10.0-30 psi,4    ,DVC 6200,160,387,2.6,1.12,2.4,0.26,820.0,806,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-PCV-5013,ET,F000156129,6,#300,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi, 3/4,DVC 6200,75,357,2.6,0.87,2.4,0.17,692.5,419,ALERTA
Válvula de control,TKA-TCV-0122,EZ,19078164,2,#150,WCC,667,FAIL CLOSE (FC),9.0-30 psi, 3/4,DVC 6200,75,211,2.6,2.2,2.4,0.08,245.6,663,ALERTA
Válvula de control,TKA-LCV-1022,ET,19078166,10,#150,WCC,667,FAIL CLOSE (FC),9.0-30 psi,4    ,DVC 6200,160,276,2.6,1.26,2.4,0.12,820.0,619,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-PCV-5014,GX,F000096196,2,#150,STL,GX,FAIL CLOSE (FC),9.0-60.0 psi,25mm,DVC 6200,60,334,2.6,2.16,2.4,0.53,245.6,1022,ALERTA
Válvula de control,TKA-TCV-0123,ET,19078165,4,#300,WCC,667,FAIL CLOSE (FC),8.0-30 psi,1 1/2,DVC 6200,45,45,2.42,1.46,2.4,0.42,546.3,562,ACEPTABLE
Válvula de control,TKA-TCV-0122,V150,F000096188,1,#150,STL,2052,FAIL CLOSE (FC),0.0-58.0 psi,90°,DVC 6200,0,368,3.6,7.37,2.4,11.28,120.0,117,ALERTA
